code;type
800-800;M
801-804;M
805-808;M
809-811;M
812-813;M
814-838;M
839-842;M
843-843;M
844-849;M
850-854;M
855-855;M
856-857;M
858-858;M
859-867;M
868-871;M
872-879;M
880-880;M
881-883;M
884-884;M
885-888;M
889-892;M
893-899;M
900-903;M
904-904;M
905-905;M
906-909;M
910-910;M
911-911;M
912-916;M
917-917;M
918-924;M
925-925;M
926-926;M
927-934;M
935-937;M
938-948;M
949-952;M
953-953;M
954-957;M
958-958;M
959-972;M
973-973;M
974-974;M
975-975;M
976-976;M
980-994;M
995-996;M
997-997;M
998-999;M
