code;parent;name;inclusion;exclusion;reference
C00;C00-C14;Lippe;;Äußere Haut der LippeC44.0;
C00.0;C00;Äußere Oberlippe;Oberlippe; Lippenrot;;
C00.1;C00;Äußere Unterlippe;Unterlippe; Lippenrot;;
C00.2;C00;Äußere Lippe o.n.A.;;;
C00.3;C00;Schleimhaut der Oberlippe;Oberlippe; innerer Bereich;;
C00.4;C00;Schleimhaut der Unterlippe;Unterlippe; innerer Bereich;;
C00.5;C00;Lippenschleimhaut o.n.A.;Lippe; innerer Bereich o.n.A.;;
C00.6;C00;Lippenkommissur;Mundwinkel;;
C00.8;C00;Lippe; mehrere Teilbereiche überlappend;;;
C00.9;C00;Lippe o.n.A.;;Äußere Haut der LippeC44.0;
C01;C00-C14;Zungengrund;;;
C01.9;C01;Zungengrund o.n.A.;Hinterer Zungenanteil o.n.A.;;
C02;C00-C14;Sonstige und nicht näher bezeichnete Teile der Zunge;;;
C02.0;C02;Dorsale Oberfläche der Zunge;Dorsale Oberfläche der vorderen 2/3 der Zunge;;
C02.1;C02;Zungenrand;Zungenspitze;;
C02.2;C02;Ventrale Oberfläche der Zunge o.n.A.;Frenulum linguae;;
C02.3;C02;Vordere 2/3 der Zunge;Vorderer Teil der Zunge o.n.A.;;
C02.4;C02;Zungentonsille;Tonsilla lingualis;;
C02.8;C02;Zunge; mehrere Bereiche überlappend;Verbindungszone der Zunge;;
C02.9;C02;Zunge o.n.A.;Lingua o.n.A.;;
C03;C00-C14;Zahnfleisch;;;
C03.0;C03;Oberkieferzahnfleisch;Alveole im Oberkiefer;;
C03.1;C03;Unterkieferzahnfleisch;Alveole im Unterkiefer;;
C03.9;C03;Zahnfleisch o.n.A.;Alveolus o.n.A.;;
C04;C00-C14;Mundboden;;;
C04.0;C04;Vorderer Teil des Mundbodens;;;
C04.1;C04;Seitlicher Teil des Mundbodens;;;
C04.8;C04;Mundboden; mehrere Teilbereiche überlappend;;;
C04.9;C04;Mundboden o.n.A.;;;
C05;C00-C14;Gaumen;;;
C05.0;C05;Harter Gaumen;;;
C05.1;C05;Weicher Gaumen o.n.A.;;Nasopharyngeale Oberfläche des weichen GaumensC11.3;
C05.2;C05;Uvula;;;
C05.8;C05;Gaumen; mehrere Teilbereiche überlappend;Übergangsbereich zwischen hartem und weichem Gaumen;;
C05.9;C05;Gaumen o.n.A.;;;
C06;C00-C14;Sonstige und nicht näher bezeichnete Teile des Mundes;;;
C06.0;C06;Wangenschleimhaut;Mundschleimhaut;;
C06.1;C06;Vestibulum oris;Sulcus buccomandibularis;;
C06.2;C06;Retromolarregion;Retromolares Dreieck;;
C06.8;C06;Sonstige und nicht näher bezeichnete Teile des Mundes; mehrere Teilbereiche überlappend;;;
C06.9;C06;Mund o.n.A.;Glandulae salivariae minores o.n.A. (siehe Hinweis unter C08);;
C07;C00-C14;Parotis;;;
C07.9;C07;Parotis;Parotis o.n.A.;;
C08;C00-C14;Sonstige und nicht näher bezeichnete große Speicheldrüsen;;;
C08.0;C08;Glandula submandibularis;Glandula submaxillaris;;
C08.1;C08;Glandula sublingualis;Ausführungsgang der Glandula sublingualis;;
C08.8;C08;Große Speicheldrüsen; mehrere Bereiche überlappend;;;
C08.9;C08;Große Speicheldrüsen o.n.A.;Speicheldrüse o.n.A. (Exkl.: Glandulae salivariae minores o.n.A.C06.9_ siehe Hinweis unter C08);;
C09;C00-C14;Tonsille;;;
C09.0;C09;Fossa tonsillaris;;;
C09.1;C09;Gaumenbogen;Arcus palatoglossus;;
C09.8;C09;Tonsille; mehrere Teilbereiche überlappend;;;
C09.9;C09;Tonsille o.n.A.;Gaumenmandel;Tonsilla pharyngeaC11.1;
C10;C00-C14;Oropharynx;;;
C10.0;C10;Vallecula epiglottica;;;
C10.1;C10;Vorderfläche der Epiglottis;Vorderfläche des Kehldeckels;;
C10.2;C10;Seitenwand des Oropharynx;Seitenwand des Mesopharynx;;
C10.3;C10;Hinterwand des Oropharynx;Hinterwand des Mesopharynx;;
C10.4;C10;Kiemengang;;;
C10.8;C10;Oropharynx; mehrere Teilbereiche überlappend;Übergangszone des Rachenringes;;
C10.9;C10;Oropharynx o.n.A.;Fauces o.n.A.;;
C11;C00-C14;Nasopharynx [Nasenrachenraum];;;
C11.0;C11;Obere Wand des Nasopharynx;Obere Wand des Nasenrachenraumes;;
C11.1;C11;Hinterwand des Nasopharynx;Hinterwand des Nasenrachenraumes;;
C11.2;C11;Seitenwand des Nasopharynx;Seitenwand des Nasenrachenraumes;;
C11.3;C11;Vorderwand des Nasopharynx;Vorderwand des Nasenrachenraumes;;
C11.8;C11;Nasopharynx; mehrere Teilbereiche überlappend;;;
C11.9;C11;Nasopharynx o.n.A.;Nasenrachenraum o.n.A.;;
C12;C00-C14;Sinus piriformis;;;
C12.9;C12;Sinus piriformis;Fossa piriformis;;
C13;C00-C14;Hypopharynx;;;
C13.0;C13;Regio postcricoidea;Krikoid o.n.A.;;
C13.1;C13;Plica aryepiglottica; hypopharyngeale Seite;Aryepiglottische Falte;;
C13.2;C13;Hinterwand des Hypopharynx;;;
C13.8;C13;Hypopharynx; mehrere Teilbereiche überlappend;;;
C13.9;C13;Hypopharynx o.n.A.;Laryngopharynx;;
C14;C00-C14;Sonstiger oder mangelhaft bezeichneter Sitz an Lippe; Mundhöhle und Pharynx;;;
C14.0;C14;Pharynx o.n.A.;Hinterwand des Pharynx;;
C14.2;C14;Waldeyer-Ring;;;
C14.8;C14;Lippe; Mundhöhle und Pharynx; mehrere Bereiche überlappend;;;
C15;C15-C26;Ösophagus;;;
C15.0;C15;Ösophagus; Pars cervicalis;;;
C15.1;C15;Ösophagus; Pars thoracalis;;;
C15.2;C15;Ösophagus; Pars abdominalis;;;
C15.3;C15;Ösophagus; oberes Drittel;Ösophagus; oberes intrathorakales Drittel;;
C15.4;C15;Ösophagus; mittleres Drittel;;;
C15.5;C15;Ösophagus; unteres intrathorakales Drittel;Ösophagus; distales Drittel;;
C15.8;C15;Ösophagus; mehrere Teilbereiche überlappend;;;
C15.9;C15;Ösophagus o.n.A.;;;
C16;C15-C26;Magen;;;
C16.0;C16;Kardia o.n.A.;Kardia;;
C16.1;C16;Fundus ventriculi;Magenfundus;;
C16.2;C16;Corpus ventriculi;Magenkorpus;;
C16.3;C16;Antrum ventriculi;Antrum pyloricum;;
C16.4;C16;Pylorus;Magenpförtner;;
C16.5;C16;Kleine Kurvatur o.n.A;;;
C16.6;C16;Große Kurvatur o.n.A;;;
C16.8;C16;Magen; mehrere Teilbereiche überlappend;Magenhinterwand o.n.A. (Hinw.: Nicht klassifizierbar unter C16.0 bis C16.4);;
C16.9;C16;Magen o.n.A.;Gastrisch o.n.A.;;
C17;C15-C26;Dünndarm;;;
C17.0;C17;Duodenum;;;
C17.1;C17;Jejunum;;;
C17.2;C17;Ileum;;IleozökalklappeC18.0;
C17.3;C17;Meckel-Divertikel;;;
C17.8;C17;Dünndarm; mehrere Teilbereiche überlappend;;;
C17.9;C17;Dünndarm o.n.A.;Intestinum tenue o.n.A.;;
C18;C15-C26;Kolon;;;
C18.0;C18;Zökum;Ileozökaler Übergang;;
C18.1;C18;Appendix vermiformis;Blinddarm (Exkl.: Zökum C18.0);;
C18.2;C18;Colon ascendens;Rechtes Kolon;;
